CCT,c_nombre,ASESOR,sostenimiento_c_subcontrol,tiponivelsub_c_servicion3
31EES0096L,IGNACIO RAMIREZ,ALICIA,ESTATAL,GENERAL
31EES0081J,JOSEFA ORTIZ DE DOMINGUEZ,ALICIA,ESTATAL,GENERAL
31EES0094N,ANGELA GONZALEZ DE MENENDEZ,ALICIA,ESTATAL,GENERAL
31EES0107A,MANUEL CRESCENCIO REJON,ALICIA,ESTATAL,GENERAL
31EES0106B,HECTOR VICTORIA AGUILAR,ALICIA,ESTATAL,GENERAL
31EES0090R,GENER ROBERTO SOSA SOSA,ALICIA,ESTATAL,GENERAL
31EES0078W,ITZAMNA,ALICIA,ESTATAL,GENERAL
31EES0098J,LUIS DONALDO COLOSIO MURRIETA,ALICIA,ESTATAL,GENERAL
31EES0104D,ARTEMIO ALPIZAR RUZ,ALICIA,ESTATAL,GENERAL
31EES0117H,SANTIAGO HERRERA CASTILLO,ALICIA,ESTATAL,GENERAL
31EES0062V,GRACIANO RICALDE GAMBOA,ALICIA,ESTATAL,GENERAL
31EES0086E,JOAQUIN ANCONA ALBERTOS,ALICIA,ESTATAL,GENERAL
31EES0100H,RITA CETINA GUTIERREZ,ALICIA,ESTATAL,GENERAL
31DES2012B,JOSE LEON BOJORQUEZ GARCIA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0116I,RAMON G. BONFIL,ALICIA,ESTATAL,GENERAL
31EES0070D,JACINTO PAT,ALICIA,ESTATAL,GENERAL
31EES0088C,DANIEL AYALA PEREZ,ALICIA,ESTATAL,GENERAL
31EES0115J,SANTIAGO PACHECO CRUZ,ALICIA,ESTATAL,GENERAL
31DES0004F,JOSE EMILIO VALLADO GALAZ,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0185K,CARLOS CARRILLO VEGA,CARLOS,ESTATAL,TELESECUNDARIA
31DST2017P,ESCUELA SECUNDARIA TECNICA 72 VICTOR MANUEL CERVERA PACHECO,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0089B,ROBERTO ARTURO HERNANDEZ WOLBRIE,ALICIA,ESTATAL,GENERAL
31ETV0158N,ESCUELA TELESECUNDARIA MANUEL AMABILIS,CARLOS,ESTATAL,TELESECUNDARIA
31EES0092P,FRANCISCO ROGELIO RIVERO ALVARADO,ALICIA,ESTATAL,GENERAL
31DST0026J,ESCUELA SECUNDARIA TECNICA NUM. 30,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST0027I,ESCUELA SECUNDARIA TECNICA NUM. 24,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DST0054F,ESCUELA SECUNDARIA TECNICA NUM. 54,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DST2025Y,ESCUELA SECUNDARIA TECNICA NUM. 76,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DST2013T,ESCUELA SECUNDARIA TECNICA NUM. 68,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0161A,JUAN RIVERO GUTIERREZ,CARLOS,ESTATAL,TELESECUNDARIA
31DST2021B,SECUNDARIA TECNICA NUM. 78,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0004E,LEONA VICARIO,ALICIA,ESTATAL,GENERAL
31EES0045E,JOSE LOPEZ PORTILLO Y ROJAS,ALICIA,ESTATAL,GENERAL
31EES0023T,EDUARDO URZAIZ RODRIGUEZ,ALICIA,ESTATAL,GENERAL
31ETV0083N,LUIS PENICHE VALLADO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0009F,ERMILO ABREU GOMEZ,CARLOS,ESTATAL,TELESECUNDARIA
31DST0017B,ESCUELA SECUNDARIA TECNICA NUM. 17,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0065Y,GABINO BARREDA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0135C,LUIS GONZAGA URBINA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0168U,JOSE DEMETRIO RIVERO NAVARRETE,CARLOS,ESTATAL,TELESECUNDARIA
31DST0016C,ADEMAR EFRAIN BRITO PARRA,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31EES0122T,SECUNDARIA NUM. 107,ALICIA,ESTATAL,GENERAL
31ETV0096R,RAQUEL DZIB CICERO,CARLOS,ESTATAL,TELESECUNDARIA
